Freq.	V(n028)/V(n012)
4.95450190804798e+01	(-3.19502756067488e-03dB,-5.63426706311685e-01°)
4.98310455970537e+01	(-3.19984423484953e-03dB,-5.66679194751904e-01°)
5.01187233627280e+01	(-3.20471667727725e-03dB,-5.69950456365100e-01°)
5.04080619102677e+01	(-3.20964553417113e-03dB,-5.73240599466297e-01°)
5.06990708274712e+01	(-3.21463145904847e-03dB,-5.76549732994790e-01°)
5.09917597574878e+01	(-3.21967511225629e-03dB,-5.79877966517787e-01°)
5.12861383991373e+01	(-3.22477716196207e-03dB,-5.83225410233957e-01°)
5.15822165072314e+01	(-3.22993828494202e-03dB,-5.86592174976626e-01°)
5.18800038928969e+01	(-3.23515916460159e-03dB,-5.89978372218183e-01°)
5.21795104239011e+01	(-3.24044049269939e-03dB,-5.93384114073228e-01°)
5.24807460249781e+01	(-3.24578296923931e-03dB,-5.96809513302294e-01°)
5.27837206781585e+01	(-3.25118730170166e-03dB,-6.00254683315764e-01°)
5.30884444230997e+01	(-3.25665420666973e-03dB,-6.03719738177322e-01°)
5.33949273574185e+01	(-3.26218440837705e-03dB,-6.07204792607972e-01°)
5.37031796370261e+01	(-3.26777863956317e-03dB,-6.10709961989671e-01°)
5.40132114764644e+01	(-3.27343764153350e-03dB,-6.14235362369158e-01°)
5.43250331492442e+01	(-3.27916216427040e-03dB,-6.17781110461613e-01°)
5.46386549881863e+01	(-3.28495296604055e-03dB,-6.21347323654908e-01°)
5.49540873857634e+01	(-3.29081081426816e-03dB,-6.24934120012962e-01°)
5.52713407944444e+01	(-3.29673648481537e-03dB,-6.28541618280033e-01°)
5.55904257270413e+01	(-3.30273076307049e-03dB,-6.32169937884243e-01°)
5.59113527570569e+01	(-3.30879444391339e-03dB,-6.35819198941663e-01°)
5.62341325190359e+01	(-3.31492832989715e-03dB,-6.39489522260645e-01°)
5.65587757089163e+01	(-3.32113323397051e-03dB,-6.43181029345136e-01°)
5.68852930843851e+01	(-3.32740997826825e-03dB,-6.46893842399101e-01°)
5.72136954652336e+01	(-3.33375939470168e-03dB,-6.50628084330219e-01°)
5.75439937337167e+01	(-3.34018232437991e-03dB,-6.54383878754328e-01°)
5.78761988349131e+01	(-3.34667961836344e-03dB,-6.58161349999170e-01°)
5.82103217770881e+01	(-3.35325213766806e-03dB,-6.61960623108503e-01°)
5.85463736320587e+01	(-3.35990075283667e-03dB,-6.65781823846421e-01°)
5.88843655355599e+01	(-3.36662634489446e-03dB,-6.69625078701201e-01°)
5.92243086876141e+01	(-3.37342980494477e-03dB,-6.73490514889620e-01°)
5.95662143529021e+01	(-3.38031203485516e-03dB,-6.77378260361003e-01°)
5.99100938611364e+01	(-3.38727394548149e-03dB,-6.81288443801789e-01°)
6.02559586074368e+01	(-3.39431646044582e-03dB,-6.85221194639072e-01°)
6.06038200527077e+01	(-3.40144051163622e-03dB,-6.89176643045650e-01°)
6.09536897240180e+01	(-3.40864704341875e-03dB,-6.93154919943674e-01°)
6.13055792149831e+01	(-3.41593701128708e-03dB,-6.97156157008966e-01°)
6.16595001861493e+01	(-3.42331137973440e-03dB,-7.01180486676069e-01°)
6.20154643653796e+01	(-3.43077112718521e-03dB,-7.05228042141445e-01°)
6.23734835482430e+01	(-3.43831724096738e-03dB,-7.09298957368982e-01°)
6.27335695984049e+01	(-3.44595072152709e-03dB,-7.13393367093426e-01°)
6.30957344480205e+01	(-3.45367257962173e-03dB,-7.17511406825582e-01°)
6.34599900981298e+01	(-3.46148383818476e-03dB,-7.21653212856193e-01°)
6.38263486190560e+01	(-3.46938553331864e-03dB,-7.25818922260428e-01°)
6.41948221508047e+01	(-3.47737871088754e-03dB,-7.30008672902983e-01°)
6.45654229034667e+01	(-3.48546442947734e-03dB,-7.34222603442030e-01°)
6.49381631576223e+01	(-3.49364376119351e-03dB,-7.38460853333659e-01°)
6.53130552647484e+01	(-3.50191778920137e-03dB,-7.42723562836916e-01°)
6.56901116476278e+01	(-3.51028761013410e-03dB,-7.47010873018036e-01°)
6.60693448007608e+01	(-3.51875433239121e-03dB,-7.51322925755336e-01°)
6.64507672907792e+01	(-3.52731907762730e-03dB,-7.55659863743638e-01°)
6.68343917568627e+01	(-3.53598298078209e-03dB,-7.60021830498956e-01°)
6.72202309111579e+01	(-3.54474718938994e-03dB,-7.64408970363374e-01°)
6.76082975391994e+01	(-3.55361286445695e-03dB,-7.68821428509593e-01°)
6.79986045003335e+01	(-3.56258118144807e-03dB,-7.73259350945532e-01°)
6.83911647281442e+01	(-3.57165332656444e-03dB,-7.77722884519888e-01°)
6.87859912308820e+01	(-3.58083050365200e-03dB,-7.82212176925576e-01°)
6.91830970918950e+01	(-3.59011392742934e-03dB,-7.86727376705981e-01°)
6.95824954700618e+01	(-3.59950482770279e-03dB,-7.91268633258890e-01°)
6.99841996002287e+01	(-3.60900444879554e-03dB,-7.95836096841689e-01°)
