Freq.	V(n028)/V(n012)
4.67735141287205e+01	(-3.14963457200660e-03dB,-5.31910994417773e-01°)
4.70435405725983e+01	(-3.15392566782718e-03dB,-5.34981573911626e-01°)
4.73151258961488e+01	(-3.15826644794633e-03dB,-5.38069876985473e-01°)
4.75882790988824e+01	(-3.16265748720277e-03dB,-5.41176005905259e-01°)
4.78630092322646e+01	(-3.16709936760096e-03dB,-5.44300063526311e-01°)
4.81393254000152e+01	(-3.17159267843460e-03dB,-5.47442153296694e-01°)
4.84172367584107e+01	(-3.17613801454452e-03dB,-5.50602379260953e-01°)
4.86967525165871e+01	(-3.18073597778019e-03dB,-5.53780846063325e-01°)
4.89778819368454e+01	(-3.18538717837059e-03dB,-5.56977658950814e-01°)
4.92606343349585e+01	(-3.19009223214022e-03dB,-5.60192923777344e-01°)
4.95450190804798e+01	(-3.19485176211533e-03dB,-5.63426747006958e-01°)
4.98310455970537e+01	(-3.19966640068001e-03dB,-5.66679235716686e-01°)
5.01187233627280e+01	(-3.20453678392716e-03dB,-5.69950497601533e-01°)
5.04080619102677e+01	(-3.20946355783145e-03dB,-5.73240640976574e-01°)
5.06990708274712e+01	(-3.21444737556380e-03dB,-5.76549774781113e-01°)
5.09917597574878e+01	(-3.21948889725889e-03dB,-5.79878008582377e-01°)
5.12861383991373e+01	(-3.22458879077058e-03dB,-5.83225452579066e-01°)
5.15822165072314e+01	(-3.22974773256049e-03dB,-5.86592217604543e-01°)
5.18800038928969e+01	(-3.23496640579278e-03dB,-5.89978415131193e-01°)
5.21795104239011e+01	(-3.24024550186616e-03dB,-5.93384157273670e-01°)
5.24807460249781e+01	(-3.24558572060494e-03dB,-5.96809556792506e-01°)
5.27837206781585e+01	(-3.25098776912468e-03dB,-6.00254727098124e-01°)
5.30884444230997e+01	(-3.25645236366224e-03dB,-6.03719782254237e-01°)
5.33949273574185e+01	(-3.26198022820215e-03dB,-6.07204836981872e-01°)
5.37031796370261e+01	(-3.26757209517801e-03dB,-6.10710006663005e-01°)
5.40132114764644e+01	(-3.27322870551311e-03dB,-6.14235407344411e-01°)
5.43250331492442e+01	(-3.27895080895621e-03dB,-6.17781155741302e-01°)
5.46386549881863e+01	(-3.28473916344879e-03dB,-6.21347369241552e-01°)
5.49540873857634e+01	(-3.29059453601552e-03dB,-6.24934165909143e-01°)
5.52713407944444e+01	(-3.29651770225215e-03dB,-6.28541664488340e-01°)
5.55904257270413e+01	(-3.30250944724106e-03dB,-6.32169984407291e-01°)
5.59113527570569e+01	(-3.30857056541339e-03dB,-6.35819245782116e-01°)
5.62341325190359e+01	(-3.31470185908187e-03dB,-6.39489569421186e-01°)
5.65587757089163e+01	(-3.32090414085263e-03dB,-6.43181076828474e-01°)
5.68852930843851e+01	(-3.32717823247440e-03dB,-6.46893890207976e-01°)
5.72136954652336e+01	(-3.33352496551491e-03dB,-6.50628132467412e-01°)
5.75439937337167e+01	(-3.33994518070883e-03dB,-6.54383927222643e-01°)
5.78761988349131e+01	(-3.34643972880392e-03dB,-6.58161398801447e-01°)
5.82103217770881e+01	(-3.35300947038651e-03dB,-6.61960672247618e-01°)
5.85463736320587e+01	(-3.35965527571765e-03dB,-6.65781873325269e-01°)
5.88843655355599e+01	(-3.36637802537280e-03dB,-6.69625128522721e-01°)
5.92243086876141e+01	(-3.37317861013291e-03dB,-6.73490565056788e-01°)
5.95662143529021e+01	(-3.38005793147852e-03dB,-6.77378310876818e-01°)
5.99100938611364e+01	(-3.38701689982733e-03dB,-6.81288494669300e-01°)
6.02559586074368e+01	(-3.39405643841146e-03dB,-6.85221245861353e-01°)
6.06038200527077e+01	(-3.40117747881201e-03dB,-6.89176694625812e-01°)
6.09536897240180e+01	(-3.40838096495110e-03dB,-6.93154971884861e-01°)
6.13055792149831e+01	(-3.41566785185814e-03dB,-6.97156209314375e-01°)
6.16595001861493e+01	(-3.42303910374058e-03dB,-7.01180539348914e-01°)
6.20154643653796e+01	(-3.43049569848439e-03dB,-7.05228095184995e-01°)
6.23734835482430e+01	(-3.43803862309598e-03dB,-7.09299010786525e-01°)
6.27335695984049e+01	(-3.44566887755247e-03dB,-7.13393420888310e-01°)
6.30957344480205e+01	(-3.45338747216144e-03dB,-7.17511461001190e-01°)
6.34599900981298e+01	(-3.46119542947314e-03dB,-7.21653267415940e-01°)
6.38263486190560e+01	(-3.46909378508524e-03dB,-7.25818977207784e-01°)
6.41948221508047e+01	(-3.47708358453948e-03dB,-7.30008728241437e-01°)
